Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A05,042_21SP_CSM_F,Mem,2.036775827,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,40.73551559,NA,NA,2.790986061,1.432707787,20234,35,20199,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,696.8205566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1517.020595,566.8652877,568.50883,NA,NA,NA,NA,2.399925232,1.712343335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A08,075_21SM_CSM_A,Mem,12.73674774,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,254.7349548,NA,NA,14.54447842,10.93179131,17738,191,17547,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,904.3501587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2346.784928,569.827489,588.9614878,NA,NA,NA,NA,13.65871239,11.81550503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B08,076_21SM_CSM_D,Mem,21.76458359,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,435.291687,NA,NA,24.14429283,19.38967705,17567,322,17245,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,928.7311401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2367.958368,580.2437578,613.0122501,NA,NA,NA,NA,22.9781189,20.55229759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C08,077_21SM_CSM_F,Mem,2.218116283,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,44.36232758,NA,NA,3.014600754,1.576291084,19643,37,19606,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,711.3908081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489.688092,574.8898477,576.6129824,NA,NA,NA,NA,2.60215497,1.873974442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D08,078_21SM_CSM_G,Mem,No Call,CHECK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,NA,NA,NA,NA,NA,20386,0,20386,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,567.2379815,567.2379815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G04,040_21SP_CSM_A,Mem,1.056775331,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,21.13550568,NA,NA,1.645500064,0.628791273,18934,17,18917,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,693.5485229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772.113963,553.9470819,555.04082,NA,NA,NA,NA,1.33424294,0.820783436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H04,041_21SP_CSM_D,Mem,2.07496357,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,41.49927139,NA,NA,2.896991491,1.425709009,17592,31,17561,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,703.0083618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1633.22987,577.5724484,579.4326906,NA,NA,NA,NA,2.469553709,1.724908233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A04,119_21SP_CSM_E,Mem,3.692435741,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,73.84871674,NA,NA,4.710753918,2.833094835,19147,60,19087,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,649.9541626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2310.967606,514.5768108,520.2060712,NA,NA,NA,NA,4.188658714,3.237209082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A07,145_21SM_CSM_E,Mem,6.727864265,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,134.5572815,NA,NA,8.298197746,5.370415688,14380,82,14298,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,853.8952637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590.580173,526.1495748,537.9217104,NA,NA,NA,NA,7.497289658,6.013296604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G03,117_21SP_CSM_B,Mem,6.897518635,OK,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM,137.9503784,NA,NA,8.199119568,5.597355843,18475,108,18367,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,651.4613037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2499.103374,522.1552045,533.7119245,NA,NA,NA,NA,7.561420441,6.233990669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
