year,month,day,season,site,site_code,sample_name,sample_letter,tube_number,concentration_(ng/ul),Sample
21,6,21,Spring,Cape Small,CSM,T1_M10,A,40,13,040_21SP_CSM_A
21,6,21,Spring,Cape Small,CSM,T2_M30,D,41,16.1,041_21SP_CSM_D
21,6,21,Spring,Cape Small,CSM,T3_M40,F,42,15,042_21SP_CSM_F
21,6,21,Spring,Cape Small,CSM,boat_neg,G,43,0,NA
21,9,1,Summer,Cape Small,CSM,T1_M10,A,75,25.1,075_21SM_CSM_A
21,9,1,Summer,Cape Small,CSM,T2_M30,D,76,15.1,076_21SM_CSM_D
21,9,1,Summer,Cape Small,CSM,T3_M40,F,77,16.2,077_21SM_CSM_F
21,9,1,Summer,Cape Small,CSM,boat_neg,G,78,0.08,078_21SM_CSM_G
21,6,21,Spring,Cape Small,CSM,T1_M30,B,117,13.2,117_21SP_CSM_B
21,6,21,Spring,Cape Small,CSM,T2_M10,C,118,21.1,118_21SP_CSM_C
21,6,21,Spring,Cape Small,CSM,T3_M20,E,119,17.2,119_21SP_CSM_E
21,9,1,Summer,Cape Small,CSM,T1_M30,B,143,22.6,143_21SM_CSM_B
21,9,1,Summer,Cape Small,CSM,T2_M10,C,144,15.4,144_21SM_CSM_C
21,9,1,Summer,Cape Small,CSM,T3_M20,E,145,10.3,145_21SM_CSM_E
21,6,9,Spring,Marshall Island,MSH,T1_M10,A,31,13.1,031_21SP_MSH_A
21,6,9,Spring,Marshall Island,MSH,T2_M30,D,32,13.8,032_21SP_MSH_D
21,6,9,Spring,Marshall Island,MSH,T3_M40,F,33,22.6,033_21SP_MSH_F
21,6,9,Spring,Marshall Island,MSH,boat_neg,G,34,0,NA
21,9,16,Summer,Marshall Island,MSH,T1_M10,A,79,18.4,079_21SM_MSH_A
21,9,16,Summer,Marshall Island,MSH,T2_M30,D,80,23.9,080_21SM_MSH_D
21,9,16,Summer,Marshall Island,MSH,T3_M40,F,81,19.9,081_21SM_MSH_F
21,9,16,Summer,Marshall Island,MSH,boat_neg,G,82,0.222,082_21SM_MSH_G
21,6,9,Spring,Marshall Island,MSH,T1_M30,B,110,17.6,110_21SP_MSH_B
21,6,9,Spring,Marshall Island,MSH,T2_M10,C,112,9.56,112_21SP_MSH_C
21,6,9,Spring,Marshall Island,MSH,T3_M20,E,113,24.1,113_21SP_MSH_E
21,9,16,Summer,Marshall Island,MSH,T1_M30,B,146,32.3,146_21SM_MSH_B
21,9,16,Summer,Marshall Island,MSH,T2_M10,C,147,21.7,147_21SM_MSH_C
21,9,16,Summer,Marshall Island,MSH,T3_M20,E,148,12.5,148_21SM_MSH_E
21,5,13,Spring,Ram Island,RAM,T1_M10,A,10,41.1,010_21SP_RAM_A
21,5,13,Spring,Ram Island,RAM,T2_M30,D,11,8.94,011_21SP_RAM_D
21,5,13,Spring,Ram Island,RAM,T3_M40,F,12,14.7,012_21SP_RAM_F
21,5,13,Spring,Ram Island,RAM,boat_neg,G,13,0,NA
21,8,16,Summer,Ram Island,RAM,T1_M10,A,53,15.6,053_21SM_RAM_A
21,8,16,Summer,Ram Island,RAM,T2_M30,D,54,22,054_21SM_RAM_D
21,8,16,Summer,Ram Island,RAM,T3_M40,F,55,26.2,055_21SM_RAM_F
21,8,16,Summer,Ram Island,RAM,boat_neg,G,56,0,NA
21,5,13,Spring,Ram Island,RAM,T1_M30,B,94,14.5,094_21SP_RAM_B
21,5,13,Spring,Ram Island,RAM,T2_M10,C,95,2.02,095_21SP_RAM_C
21,5,13,Spring,Ram Island,RAM,T3_M20,E,96,11.1,096_21SP_RAM_E
21,8,16,Summer,Ram Island,RAM,T1_M30,B,127,32.1,127_21SM_RAM_B
21,8,16,Summer,Ram Island,RAM,T2_M10,C,128,20.7,128_21SM_RAM_C
21,8,16,Summer,Ram Island,RAM,T3_M20,E,129,16.5,129_21SM_RAM_E
